Date, Open, High, Low, Close
09/25/18, 3868.46, 3868.46, 3868.46, 3868.46
09/24/18, 3861.39, 3861.39, 3861.39, 3861.39
09/21/18, 3868.64, 3868.64, 3868.64, 3868.64
09/20/18, 3862.37, 3862.37, 3862.37, 3862.37
09/19/18, 3830.39, 3830.39, 3830.39, 3830.39
09/18/18, 3823.55, 3823.55, 3823.55, 3823.55
09/17/18, 3806.89, 3806.89, 3806.89, 3806.89
09/14/18, 3830.31, 3830.31, 3830.31, 3830.31
09/13/18, 3818.65, 3818.65, 3818.65, 3818.65
09/12/18, 3795.93, 3795.93, 3795.93, 3795.93
09/11/18, 3790.37, 3790.37, 3790.37, 3790.37
09/10/18, 3781.65, 3781.65, 3781.65, 3781.65
09/07/18, 3774.05, 3774.05, 3774.05, 3774.05
09/06/18, 3781.90, 3781.90, 3781.90, 3781.90
09/05/18, 3802.90, 3802.90, 3802.90, 3802.90
09/04/18, 3832.57, 3832.57, 3832.57, 3832.57
09/03/18, 3853.75, 3853.75, 3853.75, 3853.75
08/31/18, 3859.97, 3859.97, 3859.97, 3859.97
08/30/18, 3865.74, 3865.74, 3865.74, 3865.74
08/29/18, 3877.13, 3877.13, 3877.13, 3877.13
08/28/18, 3859.22, 3859.22, 3859.22, 3859.22
08/27/18, 3853.77, 3853.77, 3853.77, 3853.77
08/24/18, 3818.54, 3818.54, 3818.54, 3818.54
08/23/18, 3794.55, 3794.55, 3794.55, 3794.55
08/22/18, 3799.92, 3799.92, 3799.92, 3799.92
08/21/18, 3788.32, 3788.32, 3788.32, 3788.32
08/20/18, 3772.32, 3772.32, 3772.32, 3772.32
08/17/18, 3757.39, 3757.39, 3757.39, 3757.39
08/16/18, 3744.57, 3744.57, 3744.57, 3744.57
08/15/18, 3727.95, 3727.95, 3727.95, 3727.95
08/14/18, 3767.87, 3767.87, 3767.87, 3767.87
08/13/18, 3753.14, 3753.14, 3753.14, 3753.14
08/10/18, 3777.66, 3777.66, 3777.66, 3777.66
08/09/18, 3814.23, 3814.23, 3814.23, 3814.23
08/08/18, 3816.30, 3816.30, 3816.30, 3816.30
08/07/18, 3817.43, 3817.43, 3817.43, 3817.43
08/06/18, 3802.00, 3802.00, 3802.00, 3802.00
08/03/18, 3797.93, 3797.93, 3797.93, 3797.93
08/02/18, 3786.59, 3786.59, 3786.59, 3786.59
08/01/18, 3784.31, 3784.31, 3784.31, 3784.31
07/31/18, 3783.15, 3783.15, 3783.15, 3783.15
07/30/18, 3772.21, 3772.21, 3772.21, 3772.21
07/27/18, 3797.70, 3797.70, 3797.70, 3797.70
07/26/18, 3822.16, 3822.16, 3822.16, 3822.16
07/25/18, 3828.88, 3828.88, 3828.88, 3828.88
07/24/18, 3795.57, 3795.57, 3795.57, 3795.57
07/23/18, 3778.37, 3778.37, 3778.37, 3778.37
07/20/18, 3784.45, 3784.45, 3784.45, 3784.45
07/19/18, 3774.60, 3774.60, 3774.60, 3774.60
07/18/18, 3785.77, 3785.77, 3785.77, 3785.77
07/17/18, 3781.90, 3781.90, 3781.90, 3781.90
07/16/18, 3764.69, 3764.69, 3764.69, 3764.69
07/13/18, 3777.86, 3777.86, 3777.86, 3777.86
07/12/18, 3764.07, 3764.07, 3764.07, 3764.07
07/11/18, 3732.08, 3732.08, 3732.08, 3732.08
07/10/18, 3767.36, 3767.36, 3767.36, 3767.36
07/09/18, 3756.13, 3756.13, 3756.13, 3756.13
07/06/18, 3723.53, 3723.53, 3723.53, 3723.53
07/05/18, 3689.36, 3689.36, 3689.36, 3689.36
07/04/18, 3665.54, 3665.54, 3665.54, 3665.54
07/03/18, 3668.94, 3668.94, 3668.94, 3668.94
07/02/18, 3673.61, 3673.61, 3673.61, 3673.61
06/29/18, 3685.59, 3685.59, 3685.59, 3685.59
06/28/18, 3660.24, 3660.24, 3660.24, 3660.24
06/27/18, 3657.88, 3657.88, 3657.88, 3657.88
06/26/18, 3685.18, 3685.18, 3685.18, 3685.18
06/25/18, 3679.81, 3679.81, 3679.81, 3679.81
06/22/18, 3737.24, 3737.24, 3737.24, 3737.24
06/21/18, 3725.96, 3725.96, 3725.96, 3725.96
06/20/18, 3751.53, 3751.53, 3751.53, 3751.53
06/19/18, 3735.55, 3735.55, 3735.55, 3735.55
06/18/18, 3771.05, 3771.05, 3771.05, 3771.05
06/15/18, 3785.57, 3785.57, 3785.57, 3785.57
06/14/18, 3797.33, 3797.33, 3797.33, 3797.33
06/13/18, 3794.58, 3794.58, 3794.58, 3794.58
06/12/18, 3802.24, 3802.24, 3802.24, 3802.24
06/11/18, 3794.32, 3794.32, 3794.32, 3794.32
06/08/18, 3785.38, 3785.38, 3785.38, 3785.38
06/07/18, 3786.27, 3786.27, 3786.27, 3786.27
06/06/18, 3791.19, 3791.19, 3791.19, 3791.19
06/05/18, 3766.45, 3766.45, 3766.45, 3766.45
06/04/18, 3762.85, 3762.85, 3762.85, 3762.85
06/01/18, 3738.20, 3738.20, 3738.20, 3738.20
05/31/18, 3701.89, 3701.89, 3701.89, 3701.89
05/30/18, 3707.14, 3707.14, 3707.14, 3707.14
05/29/18, 3684.08, 3684.08, 3684.08, 3684.08
05/28/18, 3711.57, 3711.57, 3711.57, 3711.57
05/25/18, 3714.81, 3714.81, 3714.81, 3714.81
05/24/18, 3718.68, 3718.68, 3718.68, 3718.68
05/23/18, 3719.76, 3719.76, 3719.76, 3719.76
05/22/18, 3716.80, 3716.80, 3716.80, 3716.80
05/21/18, 3726.71, 3726.71, 3726.71, 3726.71
05/18/18, 3710.29, 3710.29, 3710.29, 3710.29
05/17/18, 3717.98, 3717.98, 3717.98, 3717.98
05/16/18, 3714.46, 3714.46, 3714.46, 3714.46
